size,current,naive,protty
97,9.6982421875,4.775390625,1.30859375
98,9.267578125,4.8046875,1.328125
99,10.341796875,4.8828125,1.30859375
101,10.498046875,4.9423828125,1.30859375
103,10.6455078125,5.0390625,1.484375
105,11.171875,5.17578125,1.298828125
107,11.09375,5.29296875,1.30859375
109,12.490234375,5.439453125,1.30859375
111,12.6767578125,5.712890625,1.30859375
113,13.642578125,5.380859375,1.30859375
115,13.095703125,5.458984375,1.30859375
117,13.701171875,5.546875,1.30859375
119,16.1240234375,5.634765625,1.298828125
121,15,5.751953125,1.30859375
123,15.0595703125,5.869140625,1.298828125
125,15.791015625,6.025390625,1.30859375
127,14.66796875,6.259765625,1.30859375
129,12.646484375,5.9970703125,1.474609375
131,13.0859375,6.064453125,1.474609375
133,12.8916015625,6.201171875,1.474609375
135,14.140625,6.2890625,1.650390625
137,14.248046875,6.416015625,1.4755859375
139,15.1865234375,6.533203125,1.484375
141,14.453125,6.689453125,1.650390625
143,16.142578125,6.875,1.474609375
145,15.6748046875,6.69921875,1.474609375
147,16.376953125,6.7978515625,1.484375
149,18.33984375,6.9140625,1.66015625
151,21.4267578125,8.828125,1.484375
153,17.607421875,7.1591796875,1.484375
155,17.4619140625,7.28515625,1.474609375
157,16.54296875,7.4228515625,1.484375
159,17.6767578125,7.6171875,1.474609375
161,16.845703125,7.3828125,1.4853515625
163,15.5771484375,7.509765625,1.484375
165,15.888671875,7.63671875,1.66015625
167,16.3388671875,7.783203125,1.474609375
169,16.5234375,7.861328125,1.484375
171,16.4453125,7.96875,1.474609375
173,17.2080078125,8.06640625,1.484375
175,17.353515625,8.251953125,1.474609375
177,17.79296875,17.63671875,2.666015625
179,18.2529296875,8.2421875,1.66015625
181,19.619140625,8.359375,1.484375
183,18.84765625,8.4873046875,1.474609375
185,20.44921875,8.6728515625,1.484375
187,18.4970703125,8.80859375,1.66015625
189,19.4736328125,8.984375,1.474609375
191,20.3623046875,9.189453125,1.474609375
193,18.8671875,8.857421875,1.650390625
195,17.822265625,8.9853515625,1.66015625
197,18.310546875,9.130859375,1.66015625
199,18.4287109375,9.35546875,1.650390625
202,18.9072265625,9.70703125,1.669921875
205,19.794921875,10.1083984375,1.66015625
208,20.625,9.23828125,1.650390625
211,22.0908203125,9.90234375,1.66015625
214,21.8955078125,10.224609375,1.66015625
217,23.0576171875,10.703125,1.66015625
220,23.8291015625,12.333984375,2.470703125
223,24.462890625,11.6796875,1.669921875
226,21.3583984375,10.419921875,1.66015625
229,21.083984375,10.8408203125,1.66015625
232,23.408203125,11.23046875,1.6611328125
235,22.3251953125,11.923828125,1.66015625
238,23.4482421875,12.275390625,1.66015625
241,23.5166015625,10.99609375,1.66015625
244,23.291015625,11.435546875,1.66015625
247,24.580078125,11.9443359375,1.66015625
250,24.990234375,12.2763671875,1.66015625
253,23.7109375,12.6669921875,1.66015625
256,24.912109375,11.09375,1.66015625
259,23.779296875,11.9150390625,1.845703125
262,26.064453125,12.421875,2.021484375
265,23.69140625,13.1064453125,1.904296875
268,25.830078125,13.69140625,1.845703125
271,24.6484375,14.150390625,1.845703125
274,25.8203125,12.40234375,1.845703125
277,26.5234375,12.958984375,1.93359375
280,26.2890625,13.544921875,1.845703125
283,25.5380859375,14.052734375,1.845703125
286,28.3408203125,14.541015625,1.845703125
289,26.5927734375,12.91015625,2.03125
292,26.3583984375,13.310546875,1.845703125
295,28.203125,13.974609375,1.8466796875
298,26.2109375,14.580078125,1.9140625
302,27.98828125,15.1953125,1.875
306,28.30078125,13.701171875,1.845703125
310,28.3603515625,14.423828125,2.01171875
314,28.8388671875,15.029296875,2.01171875
