size,current,naive,protty,multi,streaming,swar
43,6.020985490484028,11.10697673085371,46.27053427092834,45.86625947331196,45.06459698888778,11.52595582597806
44,11.191801750497325,10.91954797758519,46.90619625542159,46.24808714685893,47.307931455945926,10.516103739335136
45,5.584200215633382,8.879738857777529,39.20089029558611,41.343924274583145,40.30362009450261,9.16949515234317
46,8.505777676204664,8.977487460979582,45.77955804397997,45.68051658967775,45.0048742182963,10.049694529986585
47,9.630684434870764,9.153059026121737,46.941212463181834,42.20199207640974,27.459697271251244,7.312562615849594
48,6.955945920546617,6.690414326863294,38.139657959166975,35.061027735826976,47.91568182363418,13.291307686647016
49,10.098748478708204,8.464559430616239,46.99908234188692,49.803078228858766,47.10281717255984,12.724222159384608
50,9.474949633246178,6.995391626365931,50.788122037299075,49.88348519141121,51.44248849156143,12.082756260776321
51,9.419793067218206,5.898817390125716,39.11645433050564,38.704112875647525,39.24104045224803,8.908948911396589
52,8.04071618494487,7.723356855303247,53.322113192839765,52.83062679181903,51.21148334418438,8.86644014073252
53,6.0482893866644005,5.489342020097654,41.253652547392925,42.39332105957123,39.713309985114975,8.301751199180751
54,6.0368574258634276,5.268139754541591,41.344539508631534,40.15985327066414,42.51393922011245,7.9807982728668865
55,5.874496353828073,5.452157599918017,47.42381510157317,55.97559899566799,57.981088170509906,10.626199719566415
56,8.282671838361468,7.559405960987868,56.48433885138751,56.67168782837973,57.400748467234656,13.937300649050046
57,8.361946788419912,5.453390438268823,43.84281855342279,45.31317993368544,44.089925435891686,9.882173673803809
58,6.821457464594208,7.565983088172759,58.80238911257716,56.768369952141526,59.265807605680514,12.513663972609505
59,8.27357889015847,7.480157549332652,60.73903767956363,59.25525394476868,56.67908608851356,12.434694997905877
60,7.409205129403323,7.189604386723542,62.20286444542707,60.99875749969344,54.10329201365208,8.766530398096947
61,5.41698118320852,5.030200755971593,46.84802859376745,47.72417436227259,46.78961578947754,11.32537556758668
62,7.616171378251496,7.244139410432392,62.75202305910052,59.067511997630454,63.74433553109165,11.06237374149882
63,8.250500573147624,7.4232088906596445,67.94968457479875,69.30765182097035,68.11503372272824,11.59495308961501
